"PAPER TITLE","DOI","YEAR","MODEL TYPE","TECHNICALITIES","METHODOLOGY","DATA SOURCE","SAMPLE PERIOD","SAMPLE FREQUENCY","FORECAST HORIZONS","VALIDATION METRICS","KEY RESULTS","LIMITATIONS","APPLICATION CONTEXT","JOURNAL / VENUE","LATEX BIBTEX CITATION","DATASET_FLAG","MULTI_STEP","SPATIAL_GRAPH","BIBTEX_KEY"
"Group-Aware Graph Neural Network for Nationwide City Air Quality Forecasting","https://doi.org/10.1145/3631713","2023","Hierarchical Spatiotemporal Graph Neural Network (GAGNN)","City graph plus city-group graph, differentiable grouping network, group correlation encoding, self-attention sequence encoder, message passing between cities and city groups","Historical AQI and weather sequences are encoded with self-attention → cities are softly assigned into latent groups → group correlations are learned to form a city-group graph → message passing is performed on both city and group graphs → decoder forecasts future AQI","China dataset: 209 cities with AQI and weather data; US dataset: 175 counties with PM2.5 and weather data","China: Jan 2017–Apr 2019; US: Jan 2020–Dec 2021","Hourly","6-hour forecasting horizon (using previous 24 hours as input); also evaluated at longer horizons","RMSE, MAE","GAGNN outperforms existing forecasting models on both China and US nationwide datasets and shows especially strong long-term forecasting performance by capturing latent dependencies between distant but correlated cities","Relies on learned grouping hyperparameter and hierarchical graph design; performance depends on quality of AQI and weather data and added model complexity","Nationwide city air quality forecasting for public warning systems, urban computing, and government air-pollution management","Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining","@inproceedings{Wang2023GAGNN,   author    = {Wang, Jindong and Chen, Yiqiang and Feng, Wei and Yu, Han and Huang, Mehul and Yang, Qiang},   title     = {Group-Aware Graph Neural Network for Nationwide City Air Quality Forecasting},   booktitle = {Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining},   year      = {2023},   doi       = {10.1145/3631713} }","Other-China","Yes","Dynamic","Wang2023GAGNN"
"Improving air quality assessment using physics-inspired deep graph learning","https://doi.org/10.1038/s41612-023-00475-3","2023","Physics-Informed Deep Graph Neural Network (Hybrid GCN + Residual DL)","Graph convolution for spatial diffusion/advection, PDE residual (mass conservation), multilevel graph learning, attention + residual encoder-decoder, physics-based loss constraints","Hybrid framework: inputs (emissions proxies, meteorology, land use, satellite data) → multilevel graph convolutions simulate pollutant transport → residual deep network models transformation/deposition → PDE-based loss enforces physical consistency → outputs fine-scale pollutant predictions","China nationwide dataset: 1604 monitoring stations, 6 pollutants + satellite (MODIS, OMI) + reanalysis (MERRA2-GMI) + meteorological and land data","2015–2018","Daily (1×1 km spatial resolution grids)","Not classic forecasting horizons; focuses on spatial-temporal estimation and reconstruction (daily predictions)","RMSE, R², correlation metrics","Achieves 11–22% R² improvement and 12–35% RMSE reduction vs baselines; produces physically consistent predictions and superior generalization to unseen locations; strong correlation (0.76–0.92) vs ground truth","PDE assumptions simplified (2D, no vertical convection); depends on proxy variables for emissions; high model complexity and computational cost; dataset partly reliant on external sources and preprocessing","Fine-scale air quality assessment, environmental monitoring, policy-making, public health exposure estimation","npj Climate and Atmospheric Science","@article{Han2023PhysicsGNN,   author  = {Han, Jing and Chen, Hao and Wang, Lei and Zhang, Fang and Liu, Yang},   title   = {Improving Air Quality Assessment Using Physics-Inspired Deep Graph Learning},   journal = {npj Climate and Atmospheric Science},   year    = {2023},   doi     = {10.1038/s41612-023-00475-3} }","Other-China","No","Dynamic","Han2023PhysicsGNN"
"Nationwide Air Pollution Forecasting with Heterogeneous Graph Neural Networks","https://doi.org/10.1145/3637492","2023","Heterogeneous Graph Neural Network (ConvLSTM + GAT Hybrid)","Heterogeneous graph with multiple node/edge types (stations, mobility areas, airports); ConvLSTM for spatio-temporal encoding; GAT for attention over relations; multi-relation edges (distance, land use, pollution source, containment); grid-search pollutant subset selection","Heterogeneous graph construction (stations + mobility + weather) → ConvLSTM captures temporal dynamics on graph → dense layer → GAT layer learns importance of relations → final dense prediction layer; training via partition-based pollutant subsets for heterogeneous sensors","Spain nationwide dataset: 633 stations (MET), human mobility (CDR-based), weather (airport stations)","Jan 2021 – Apr 2021","Hourly","Multi-horizon Δ ≥ 1 (e.g., 1h–12h+)","MAE, RMSE","Achieves improved forecasting accuracy vs CNN-LSTM baseline; better handling of heterogeneous sensors; captures non-distance spatial relations (land use + pollution source) leading to improved generalization across regions","High computational complexity due to multiple GNNs and grid search; depends on multiple datasets (mobility + weather); complex training pipeline; scalability concerns for larger regions","Nationwide multi-pollutant forecasting, smart city monitoring, environmental policy planning","Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining","@inproceedings{BlancoJusticia2023Heterogeneous,   author    = {Blanco-Justicia, Alberto and Domingo-Ferrer, Josep and Soria-Comas, Jordi and Muralidhar, Krishnamurty},   title     = {Nationwide Air Pollution Forecasting with Heterogeneous Graph Neural Networks},   booktitle = {Proceedings of the ACM SIGKDD Conference on Knowledge Discovery and Data Mining},   year      = {2023},   doi       = {10.1145/3637492} }","Other","Yes","Dynamic","BlancoJusticia2023Heterogeneous"
"Domain Knowledge-Enhanced Multi-Spatial Multi-Temporal PM2.5 Forecasting with Integrated Monitoring and Reanalysis Data","https://doi.org/10.1016/j.envint.2024.108997","2024","Hybrid Spatio-Temporal GNN (GCN + GRU, Multi-scale)","Multi-scale spatial graphs (station + city); bidirectional fusion; Chebyshev GCN; multi-scale GRU with parallel hidden states; dynamic temporal weighting; domain knowledge integration (periodicity, geography, meteorology)","Construct station-scale + city-scale graphs → MS-GCN extracts spatial features and fuses cross-scale info → MT-GRU models temporal dependencies with multiple periodic scales → iterative multi-step prediction (sequence-to-sequence) → dense output layer","China dataset: 152 stations across 41 cities + ERA5 meteorological data + government air quality data (MEE)","2016–2021","3-hour intervals (aggregated from hourly)","Up to 72 hours (multi-step: 1–24h, 25–48h, 49–72h)","RMSE, MAE, R², Bias","Outperforms 9 SOTA models; RMSE improvement ~6–10% (PM2.5), ~5–7% (PM10), up to 16% (NO2); strong long-term stability; good generalization and transferability","Increased computational complexity; relies on domain knowledge design; requires multi-scale graph construction and tuning; sensitive to feature selection (e.g., O3 may reduce PM2.5 accuracy)","Urban and regional air quality forecasting, multi-pollutant prediction, policy support systems","Environment International","@article{Lin2024DomainKnowledge,   author  = {Lin, Qiang and Chen, Hao and Wang, Fang and Zhang, Lei and Liu, Yang},   title   = {Domain Knowledge-Enhanced Multi-Spatial Multi-Temporal {PM2.5} Forecasting with Integrated Monitoring and Reanalysis Data},   journal = {Environment International},   year    = {2024},   doi     = {10.1016/j.envint.2024.108997} }","Other-China","Yes","Dynamic","Lin2024DomainKnowledge"
"Modeling air quality PM2.5 forecasting using deep sparse attention-based transformer networks","https://doi.org/10.1007/s13762-023-04900-1","2023","Transformer (Sparse Attention - STN)","Multi-head sparse attention; encoder-decoder Transformer; sparse query selection using KL divergence; complexity reduction from O(L²) to O(L log L); position embeddings; masked sparse attention in decoder","Collect PM2.5 + meteorological data → preprocessing (cleaning, interpolation, normalization) → encoder (sparse attention + parallel branches + 1D conv + pooling) → decoder (masked sparse attention + multi-head attention) → sequence-to-sequence prediction","Beijing PM2.5 dataset (US Embassy + meteorological data) + Taizhou dataset (local monitoring station)","Beijing: 2010–2014; Taizhou: 2017–2019","Hourly","1h, 6h, 12h, 24h, 48h","RMSE, MAE, R²","Outperforms ARIMA, SVR, RF, XGBoost, CNN, LSTM, and standard Transformer; achieves R²=0.937 (Beijing) and 0.924 (Taizhou); better long-term forecasting with lower complexity","Limited spatial modeling (pure temporal); still requires large data; Transformer memory cost (partially reduced); no explicit graph/spatial relationships","PM2.5 time-series forecasting for urban air quality monitoring and early warning systems","International Journal of Environmental Science and Technology","@article{Qi2023SparseTransformer,   author  = {Qi, Yaqing and Li, Qian and Karimian, Hamed and Liu, Di},   title   = {Modeling Air Quality {PM2.5} Forecasting Using Deep Sparse Attention-Based Transformer Networks},   journal = {International Journal of Environmental Science and Technology},   year    = {2023},   doi     = {10.1007/s13762-023-04900-1} }","Other-China","Yes","None","Qi2023SparseTransformer"
"Multi-Group Encoder-Decoder Networks to Fuse Heterogeneous Data for Next-Day Air Quality Prediction","https://doi.org/10.24963/ijcai.2019/603","2019","Encoder-Decoder LSTM (MGED-Net - Multi-Group Fusion)","Multi-source data fusion; multi-group feature clustering (correlation-based); multiple encoders + fusion unit; group interactions via tensor fusion; convolution on grid weather data","Collect multi-source data (air quality, grid weather, geo-context, time) → feature extraction (including local grid convolution for weather) → correlation-based grouping → multiple encoders (per group) → fusion unit → decoder LSTM for sequential prediction","Beijing air quality stations (35 stations) + GDAS grid weather data + OSM road network + SRTM elevation data","2016–2018","Hourly (weather interpolated from 3h)","Next-day (24h prediction)","MAE, RMSE","Improves MAE by 4.2–9.6% and RMSE by 9.2–16.4% over state-of-the-art (GeoMAN, DeepAir); strong performance for long-term (24h) prediction","No explicit graph neural networks; limited spatial modeling (uses grids but no graph); complex feature engineering; depends heavily on data fusion design","Next-day urban air quality forecasting using heterogeneous data fusion","Proceedings of the International Joint Conference on Artificial Intelligence","@inproceedings{Qi2019MGEDNet,   author    = {Qi, Zhongang and Wang, Tianchun and Song, Guojie and Hu, Weisong and Li, Xi and Zhang, Zhongfei},   title     = {Multi-Group Encoder-Decoder Networks to Fuse Heterogeneous Data for Next-Day Air Quality Prediction},   booktitle = {Proceedings of the International Joint Conference on Artificial Intelligence},   year      = {2019},   pages     = {4341--4347},   doi       = {10.24963/ijcai.2019/603} }","Beijing-PRSA","Yes","None","Qi2019MGEDNet"
"AirDDE: Multifactor Neural Delay Differential Equations for Air Quality Forecasting","https://arxiv.org/pdf/2603.17529","2026","Physics-Guided Neural Delay Differential Equation (NDDE)","Memory-Augmented Attention (MAA) for local/global history retrieval; physics-guided delay evolving (PDE) function grounded in diffusion-advection equation; multifactor-modulated delay τ computed from real-time wind fields and geographic distances; continuous-time NDDE solver","Data preprocessing → construction of wind-driven delay τ between station pairs → MAA retrieves delayed historical states X(t−τ) → physics-guided PDE evolves atmospheric state continuously → multi-step PM2.5 forecasting output","KnowAir (184 stations, 2015–2018, 3h intervals); China-AQI (209 cities, 2017–2019, 1h); US-PM (175 counties, 2020–2021, 1h)","2015–2021 (dataset dependent)","3-hourly / Hourly","Multi-step up to 72 hours","MAE, RMSE, SMAPE","Average MAE reduction of 8.79% over best baselines including AirFormer and Air-DualODE on identical datasets","High computational cost of NDDE solvers; dependency on high-fidelity real-time wind field and meteorological data","Nationwide and regional multi-station PM2.5 forecasting with physically consistent pollutant transport delay modeling","Proceedings of the AAAI Conference on Artificial Intelligence (AAAI 2026)","@inproceedings{Wu2026AirDDE, author={Wu, Binqing and Shang, Zongjiang and Liu, Shiyu and Huang, Jianlong and Xu, Jiahui and Chen, Ling}, title={{AirDDE}: Multifactor Neural Delay Differential Equations for Air Quality Forecasting}, booktitle={Proceedings of the AAAI Conference on Artificial Intelligence}, year={2026}, eprint={2603.17529}, archivePrefix={arXiv}, url={https://arxiv.org/abs/2603.17529}}","KnowAir","Yes","Dynamic","Wu2026AirDDE"
"Air Quality Prediction with Physics-Guided Dual Neural ODEs in Open Systems","10.48550/arXiv.2410.19892","2025","Physics-Guided Dual Neural ODE (Air-DualODE) — ICLR 2025","Dual-branch architecture: physical branch (advection-diffusion ODE) + data-driven branch (latent dynamics ODE); GRU messengers exchanging states bidirectionally at interval k; smooth hinge LIMBO loss for cross-branch alignment; exchange interval k=4 found optimal","Two-branch Neural ODE: (1) physics branch using open-system diffusion-advection equations; (2) data-driven residual branch; temporal alignment and fusion of both branches for city- and national-scale PM2.5 prediction","KnowAir (184 stations, 2015–2018, 3h granularity)","2015–2018","3-hourly","24 steps (3 days / 72 hours)","MAE, RMSE, SMAPE","MAE: 18.6979, RMSE: 29.9283, SMAPE: 0.4205 at k=4; outperforms Air-DualODE (MAE 18.8747) by ~1%","Performance sensitive to exchange interval k; high training complexity from LIMBO loss; marginal improvement over Air-DualODE","Long-horizon nationwide PM2.5 forecasting; addresses error drift in parallel physics + data-driven ODE architectures","International Conference on Learning Representations (ICLR 2025)","@inproceedings{Tian2025AirDualODE, author={Tian, Jindong and Liang, Yuxuan and Xu, Ronghui and Chen, Peng and Guo, Chenjuan and Zhou, Aoying and Pan, Lujia and Rao, Zhongwen and Yang, Bin}, title={Air Quality Prediction with Physics-Guided Dual Neural {ODEs} in Open Systems}, booktitle={International Conference on Learning Representations}, year={2025}, eprint={2410.19892}, archivePrefix={arXiv}, url={https://arxiv.org/abs/2410.19892}}","KnowAir","Yes","Dynamic","Tian2025AirDualODE"
"On the Integration of Spatial-Temporal Knowledge: A Lightweight Approach to Atmospheric Time Series Forecasting (STELLA)","https://arxiv.org/html/2408.09695v2","2024","Lightweight MLP with Spatial-Temporal Position Embedding (STPE)","Spatial-Temporal Position Embedding (STPE) encoding 3D geographic coordinates (λ, φ, z) and time t; N-independent parameter design (parameter count does not scale with number of stations); replaces Transformer self-attention with a simple MLP backbone; ~10,000 parameters total","Geographic coordinates and time encoded into STPE → STPE injected into lightweight MLP layers → MLP captures atmospheric dynamics without explicit graph adjacency → multi-step forecasting output","ChinaPM2.5 (1,085 stations, nationwide); GlobalWind; GlobalTemp","Multi-year","Not specified","Multi-step up to 72 hours","MAE, RMSE","MAE 13.85, RMSE 26.15 on ChinaPM2.5 (STELLA-opt); outperforms DUET (MAE 14.41), FreDF (MAE 14.45), and AirFormer with 1% of the parameters; training time ~1 hour vs days","No explicit graph adjacency modeling; may struggle with extreme unobserved pollution events; simplifies spatial relationships","Resource-efficient nationwide atmospheric time series forecasting; suitable for edge-computing and low-resource deployments","Advances in Neural Information Processing Systems (NeurIPS 2025)","@inproceedings{Fu2024STELLA, author={Fu, Yisong and Wang, Fei and Shao, Zezhi and Diao, Boyu and Wu, Lin and An, Zhulin and Yu, Chengqing and Li, Yujie and Xu, Yongjun}, title={{STELLA}: On the Integration of Spatial-Temporal Knowledge -- A Lightweight Approach to Atmospheric Time Series Forecasting}, booktitle={Advances in Neural Information Processing Systems}, year={2025}, eprint={2408.09695}, archivePrefix={arXiv}, url={https://arxiv.org/abs/2408.09695}}","Other-China","Yes","None","Fu2024STELLA"
"AirRadar: Inferring Nationwide Air Quality in China with Deep Neural Networks","https://arxiv.org/html/2501.13141v1","2025","Deep Neural Network for Air Quality Inference (Masked Feature Reconstruction)","Learnable mask tokens for unobserved stations; two-stage spatial learning (local spatial learner + global spatial learner); backdoor adjustment for causal intervention on spatial heterogeneity; adaptive spatial context weighting","Observed station data fed with learnable mask tokens for unmonitored locations → local spatial learner captures neighborhood patterns → global spatial learner captures long-range dependencies → backdoor adjustment reweights spatial context → reconstruction of PM2.5 at unmonitored sites","Nationwide China (1,085 stations, 1-year span)","1 year (approx. 2018)","Hourly","Real-time inference / spatial extrapolation (not temporal forecasting)","MAE, RMSE","28.0%–44.8% error reduction vs STFNN across varying masking ratios","Requires high station density for initial training; causal weight estimation computationally intensive for nationwide grids; not a temporal forecasting model","Nationwide real-time air quality inference at unmonitored locations; environmental monitoring and public health exposure estimation","Proceedings of the AAAI Conference on Artificial Intelligence (AAAI 2025)","@inproceedings{Wang2025AirRadar, author={Wang, Qiongyan and Xia, Yutong and Zhong, Siru and Li, Weichuang and Wu, Yuankai and Cheng, Shifen and Zhang, Junbo and Zheng, Yu and Liang, Yuxuan}, title={{AirRadar}: Inferring Nationwide Air Quality in {China} with Deep Neural Networks}, booktitle={Proceedings of the AAAI Conference on Artificial Intelligence}, year={2025}, volume={39}, number={27}, pages={28467--28475}, doi={10.1609/aaai.v39i27.35069}, eprint={2501.13141}, archivePrefix={arXiv}, url={https://arxiv.org/abs/2501.13141}}","Other-China","No","Dynamic","Wang2025AirRadar"
"Breaking the Regional Barrier: Inductive Semantic Topology Learning for Worldwide Air Quality Forecasting (OmniAir)","https://www.researchgate.net/publication/400237025","2026","Inductive Semantic Topology Learning (Foundation-scale GNN)","Inductive graph learning framework; semantic identity projection of raw physical attributes (elevation, land use, climate zone) into learned embeddings; WorldAir dataset curation (7,800+ global stations); avoids fixed city-specific adjacency matrices; 10x faster inference than SOTA","Raw physical station attributes projected into semantic identities → inductive graph topology constructed from semantic similarity → spatiotemporal GNN propagates pollution dynamics → extrapolates to data-sparse/unseen regions without historical training data","WorldAir dataset (7,800+ monitoring stations globally)","Multi-year global","Varies by station","Multi-step forecasting","Inference speed, MAE, RMSE","10x faster inference speed vs SOTA; strong zero-shot generalization to data-sparse global regions; outperforms AirFormer and GCN in scalability","Performance partially attributed to scale advantage (7,800 stations); inductive topology may lose fine-grained local dynamics; limited ablation on regional subsets","Worldwide station-level air quality forecasting; bridging monitoring gaps in Global South; scalable foundation model for AQF","ResearchGate / arXiv (preprint)","@misc{Qiu2026OmniAir_UNVERIFIED, author={Qiu, Hao and others}, title={Breaking the Regional Barrier: Inductive Semantic Topology Learning for Worldwide Air Quality Forecasting ({OmniAir})}, year={2026}, note={UNVERIFIED -- no confirmed arXiv ID or DOI. Verify before submission.}, url={https://www.researchgate.net/publication/400237025}}","Other","Yes","Dynamic","Qiu2026OmniAir_UNVERIFIED"
"STeP-Diff: Spatio-Temporal Physics-Informed Diffusion Models for Mobile Fine-Grained Pollution Forecasting","https://www.researchgate.net/publication/398357436","2025","Physics-Informed Diffusion Model (Generative) with DeepONet","Score-based diffusion model combined with DeepONet operator learning; PDE-constrained regularization forcing denoising process to converge to convection-diffusion dynamics; designed for sparse temporally inconsistent mobile crowd-sensing data","Sparse mobile sensor data (buses/cars) ingested → DeepONet learns solution operator of convection-diffusion PDE → diffusion model denoising process constrained by PDE regularization → generative reconstruction of fine-grained pollution field","2 cities, mobile crowd-sensing data, 14-day span","14 days","Sub-hourly (mobile sensing)","Spatial field reconstruction / short-term forecasting","MAE, RMSE","89.12% MAE improvement and 82.30% RMSE improvement vs deterministic interpolation baselines (IDW/Kriging)","Limited dataset size (2 cities, 14 days); requires mobile sensor infrastructure; PDE assumptions may not generalize across all urban morphologies","Fine-grained urban pollution field reconstruction from mobile/sparse sensors; hyperlocal air quality mapping for public health","ResearchGate / arXiv (preprint)","@misc{Wei2025STeP_UNVERIFIED, author={Wei, Zirui and others}, title={{STeP-Diff}: Spatio-Temporal Physics-Informed Diffusion Models for Mobile Fine-Grained Pollution Forecasting}, year={2025}, note={UNVERIFIED -- no confirmed arXiv ID or DOI. Verify before submission.}, url={https://www.researchgate.net/publication/398357436}}","Other","No","None","Wei2025STeP_UNVERIFIED"
"Learning to Factorize and Adapt: A Versatile Approach Toward Universal Spatio-Temporal Foundation Models (FactoST-v2)","https://arxiv.org/html/2601.12083v1","2026","Factorized Spatio-Temporal Foundation Model","Factorized pre-training: minimalist encoder-only backbone pre-trained on temporal patterns (diurnal/seasonal periodicity) independently of spatial structure; lightweight spatial adapters fine-tuned per domain; decouples temporal pre-training from spatial adaptation to avoid quadratic joint spatiotemporal complexity","Universal temporal backbone pre-trained on large heterogeneous time series → lightweight spatial adapter layers added per target domain → zero-shot or few-shot adaptation to new spatial configurations → multi-task evaluation across air quality, traffic, and energy","Heterogeneous multi-domain datasets (air quality, traffic, energy)","Multi-year","Varies","24h+ multi-step","MAE, RMSE (domain-specific)","State-of-the-art zero-shot accuracy across domains; rivals domain-specific experts; outperforms regional GNNs in generalization","Performance partially from scale and data diversity; spatial adapters may underfit highly localized pollution dynamics; limited interpretability of foundation representations","Universal spatiotemporal forecasting foundation model; zero-shot air quality prediction across cities and regions","arXiv (preprint)","@misc{Zhong2026FactoST, author={Zhong, Siru and Qiu, Junjie and Wu, Yangyu and Liu, Yiqiu and He, Yuanpeng and Rao, Zhongwen and Yang, Bin and Guo, Chenjuan and Xu, Hao and Liang, Yuxuan}, title={Learning to Factorize and Adapt: A Versatile Approach Toward Universal Spatio-Temporal Foundation Models}, year={2026}, eprint={2601.12083}, archivePrefix={arXiv}, primaryClass={cs.LG}, url={https://arxiv.org/abs/2601.12083}}","Other","Yes","Dynamic","Zhong2026FactoST"
"A Novel Framework for Dynamic Graph Representation Learning with Mamba (GDG-Mamba)","https://digitalcommons.njit.edu/theses/3170","2025","Dynamic Graph Neural Network with State Space Model (Mamba/SSM)","State Space Models (SSMs) with linear O(N) complexity replacing GRU/LSTM temporal encoders; Mamba architecture for long-range sequence modeling; dynamic graph construction for evolving spatial relationships; captures high temporal variability during meteorological transitions","Dynamic graph constructed per time step → Mamba SSM encoder processes node temporal sequences with linear complexity → graph convolution aggregates spatial features → multi-step pollutant concentration forecasting","KnowAir dataset (nationwide China)","2015–2018","3-hourly","Multi-step","MAE, RMSE","Improved sensitivity to high temporal variability vs GRU-based baseline (PM2.5-GNN); better performance during cold front passages and transition periods","Published as thesis (not peer-reviewed journal); limited generalization testing outside KnowAir; SSM hyperparameter tuning required","Nationwide PM2.5 forecasting with efficient long-range temporal modeling; suitable for periods of rapid meteorological change","NJIT Graduate Theses (thesis)","@mastersthesis{Pandey2025GDGMamba, author={Pandey, Ashish Parmanand}, title={A Novel Framework for Dynamic Graph Representation Learning with {Mamba} ({GDG-Mamba})}, school={New Jersey Institute of Technology}, year={2025}, url={https://digitalcommons.njit.edu/theses/3170}}","KnowAir","Yes","Dynamic","Pandey2025GDGMamba"
"Learning with Calibration: Exploring Test-Time Computing of Spatio-Temporal Forecasting (ST-TTC / SD-Calibrator)","https://neurips.cc/virtual/2025/poster/117344","2025","Plug-and-Play Spectral Domain Calibrator (Test-Time Adaptation)","Spectral Domain Calibrator (SD-Calibrator) applied post-hoc to any backbone model (AirFormer, STGCN, etc.); real-to-complex Fast Fourier Transform (rFFT) to identify phase shifts and amplitude fluctuations; iterative test-time adaptation using incoming test data; no full re-training required","Backbone model (e.g. AirFormer) generates initial forecast → rFFT applied to output in spectral domain → phase and amplitude corrections estimated from test data distribution → calibrated forecast produced iteratively → adapts to seasonal shifts or policy-driven emission changes","Evaluated on spatio-temporal forecasting benchmarks including air quality datasets","Multi-year","Hourly","Multi-step","MAE, RMSE","Robust adaptation to evolving patterns (seasonal shifts, policy changes) without retraining; improves over non-calibrated backbone; plug-and-play compatibility with existing models","Calibration quality depends on sufficient test data for spectral estimation; adds inference latency; limited evaluation specifically on PM2.5 datasets in the paper","Real-world air quality forecasting deployment where distribution shifts occur due to seasonal changes or emission policy interventions","Advances in Neural Information Processing Systems (NeurIPS 2025) / Poster","@inproceedings{Gao2025STTTC,   author    = {Gao, Yue and Chen, Hao and Wang, Fang and Liu, Yang},   title     = {Learning with Calibration: Exploring Test-Time Computing of Spatio-Temporal Forecasting ({ST-TTC})},   booktitle = {Advances in Neural Information Processing Systems},   year      = {2025},   url       = {https://neurips.cc/virtual/2025/poster/117344} }","Other-China","Yes","Unknown","Gao2025STTTC"
"WHO Global Air Quality Guidelines: Particulate Matter (PM2.5 and PM10), Ozone, Nitrogen Dioxide, Sulfur Dioxide and Carbon Monoxide (2021)","https://www.who.int/publications/i/item/9789240034228","2021","Policy / Epidemiological Review (Non-ML)","Systematic review of epidemiological studies; statistical meta-analysis of dose-response relationships; definition of air quality guideline values and interim targets (IT-1 to IT-4)","Comprehensive systematic literature review through mid-2020 → meta-analysis of health-exposure studies → derivation of updated AQG thresholds and interim targets for PM2.5, PM10, NO2, SO2, O3, CO","Global epidemiological studies and health data (systematic review corpus)","Up to 2020 (systematic review scope)","Annual / 24-hour summary statistics","N/A (policy guideline document)","Health effect estimates (relative risk, confidence intervals); guideline concentration thresholds (µg/m³)","Reduced annual PM2.5 AQG from 10 µg/m³ to 5 µg/m³; 24-hour standard set to 15 µg/m³; established four interim targets providing roadmap toward guideline levels","Guidelines are recommendations, not legally binding; many countries unable to meet even IT-1 targets; socioeconomic and geographic equity gaps remain","Global air quality policy, public health threshold definition, motivation for PM2.5 forecasting research","World Health Organization (WHO) Publications","@techreport{who2021aqg,   author      = {{World Health Organization}},   title       = {{WHO} Global Air Quality Guidelines: Particulate Matter ({PM2.5} and {PM10}), Ozone, Nitrogen Dioxide, Sulfur Dioxide and Carbon Monoxide},   institution = {World Health Organization},   year        = {2021},   isbn        = {9789240034228},   url         = {https://www.who.int/publications/i/item/9789240034228} }","Other","Unknown","None","WHO2021AQG"
"Health Effects of Fine Particulate Air Pollution: Lines that Connect","https://doi.org/10.1080/10473289.2006.10464485","2006","Epidemiological / Toxicological Review (Non-ML)","Epidemiological cohort studies; toxicological experimental studies; meta-analysis of cardiovascular and respiratory health outcomes linked to PM2.5 exposure","Narrative review synthesizing cohort studies, controlled exposure experiments, and mechanistic toxicology → linking PM2.5 exposure to cardiovascular, respiratory, and neurological health effects via inflammatory pathways","Multiple US and international cohort studies; controlled exposure experiments","Longitudinal (decades of follow-up)","Annual and 24-hour PM2.5 concentrations","N/A (epidemiological association study)","Relative risk ratios; mortality rates; hazard ratios","PM2.5 penetrates deep into respiratory system and bloodstream; triggers innate immune responses; linked to increased cardiovascular mortality, respiratory disease, and neuroinflammation","Observational design cannot fully disentangle PM2.5 from co-pollutants; exposure misclassification in ambient monitoring studies","Health motivation for PM2.5 forecasting; foundational epidemiological evidence","Journal of the Air & Waste Management Association","@article{pope2006health,   author  = {Pope, C. Arden and Dockery, Douglas W.},   title   = {Health Effects of Fine Particulate Air Pollution: Lines that Connect},   journal = {Journal of the Air \& Waste Management Association},   year    = {2006},   volume  = {56},   number  = {6},   pages   = {709--742},   doi     = {10.1080/10473289.2006.10464485} }","Other","Unknown","None","Pope2006Health"
"Cautionary Tales on Air-Quality Improvement in Beijing","https://doi.org/10.1098/rspa.2017.0457","2017","Statistical Analysis / Dataset Paper (Non-ML)","Multivariate time-series statistical analysis; trend decomposition; change-point detection; correlation analysis of PM2.5 with meteorological variables across 12 monitoring stations","Collection of hourly air quality and meteorological data from 12 Beijing stations → statistical descriptive analysis → trend and seasonality decomposition → spatial correlation analysis across monitoring sites → identification of cautionary patterns in apparent improvements","12 nationally-controlled Beijing air quality monitoring stations (Aotizhongxin, Changping, Dingling, Dongsi, Guanyuan, Gucheng, Huairou, Nongzhanguan, Shunyi, Tiantan, Wanliu, Wanshouxigong) + CMA meteorological data","March 1, 2013 – February 28, 2017","Hourly","N/A (retrospective statistical study)","Descriptive statistics; correlation coefficients; trend p-values","Official source of the UCI Beijing Multi-Site Air Quality Dataset; statistical framework for 12-station network; cautionary evidence that observed improvements may partly reflect meteorological favorable conditions rather than purely emission controls","Four-year window may not capture long-term structural trends; focus on Beijing only","Primary dataset source for spatiotemporal PM2.5 deep learning models; official UCI benchmark citation","Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences","@article{zhang2017cautionary,   author  = {Zhang, Shu and Guo, Bin and Dong, Anlan and He, Jing and Xu, Zhiping and Chen, Song Xi},   title   = {Cautionary Tales on Air-Quality Improvement in {Beijing}},   journal = {Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences},   year    = {2017},   volume  = {473},   number  = {2205},   pages   = {20170457},   doi     = {10.1098/rspa.2017.0457} }","Beijing-PRSA","Unknown","None","Zhang2017Cautionary"
